(205, 'N', 2, 0, 'D', 0) :  0.0 ==> 
(206, 'N', 2, 0, 'D', 25) :  -0.3523624044427419 ==> CRAFT
(207, 'N', 2, 0, 'D', 50) :  -37.037177572987126 ==> CRAFT
(208, 'N', 2, 0, 'D', 75) :  -79.51467095430944 ==> CRAFT
(209, 'N', 2, 0, 'D', 100) :  -118.29596395063996 ==> CRAFT
(210, 'N', 2, 1, 'R', 0) :  0.0 ==> 
(211, 'N', 2, 1, 'R', 25) :  -0.8078457484193993 ==> CRAFT
(212, 'N', 2, 1, 'R', 50) :  -35.55943818373305 ==> CRAFT
(213, 'N', 2, 1, 'R', 75) :  -72.99177730567634 ==> CRAFT
(214, 'N', 2, 1, 'R', 100) :  -117.33287527902048 ==> CRAFT
(215, 'N', 2, 1, 'D', 0) :  0.0 ==> 
(216, 'N', 2, 1, 'D', 25) :  4.825791793326144 ==> DOWN
(217, 'N', 2, 1, 'D', 50) :  -33.26277201593546 ==> CRAFT
(218, 'N', 2, 1, 'D', 75) :  -70.95242489725089 ==> CRAFT
(219, 'N', 2, 1, 'D', 100) :  -115.06923922504858 ==> CRAFT
(220, 'N', 2, 2, 'R', 0) :  0.0 ==> 
(221, 'N', 2, 2, 'R', 25) :  0.5359516504988586 ==> STAY
(222, 'N', 2, 2, 'R', 50) :  -34.11899048222144 ==> CRAFT
(223, 'N', 2, 2, 'R', 75) :  -71.21693781292123 ==> CRAFT
(224, 'N', 2, 2, 'R', 100) :  -116.35257655496456 ==> CRAFT
(225, 'N', 2, 2, 'D', 0) :  0.0 ==> 
(226, 'N', 2, 2, 'D', 25) :  8.588263241460275 ==> DOWN
(227, 'N', 2, 2, 'D', 50) :  -28.546441652148008 ==> DOWN
(228, 'N', 2, 2, 'D', 75) :  -68.11268170884273 ==> CRAFT
(229, 'N', 2, 2, 'D', 100) :  -110.48427303361117 ==> DOWN
(230, 'N', 2, 3, 'R', 0) :  0.0 ==> 
(231, 'N', 2, 3, 'R', 25) :  1.220519383333139 ==> STAY
(232, 'N', 2, 3, 'R', 50) :  -33.55344534736098 ==> STAY
(233, 'N', 2, 3, 'R', 75) :  -71.21693781292123 ==> CRAFT
(234, 'N', 2, 3, 'R', 100) :  -116.0536807229807 ==> STAY
(235, 'N', 2, 3, 'D', 0) :  0.0 ==> 
(236, 'N', 2, 3, 'D', 25) :  9.423625367973726 ==> DOWN
(237, 'N', 2, 3, 'D', 50) :  -22.8832596781052 ==> DOWN
(238, 'N', 2, 3, 'D', 75) :  -61.104315335459184 ==> DOWN
(239, 'N', 2, 3, 'D', 100) :  -106.8223495663861 ==> DOWN
(240, 'S', 0, 0, 'R', 0) :  0.0 ==> 
(241, 'S', 0, 0, 'R', 25) :  -35.378119995520805 ==> GATHER
(242, 'S', 0, 0, 'R', 50) :  -73.41303699142412 ==> GATHER
(243, 'S', 0, 0, 'R', 75) :  -117.23428279465487 ==> GATHER
(244, 'S', 0, 0, 'R', 100) :  -137.12624619036612 ==> STAY
(245, 'S', 0, 0, 'D', 0) :  0.0 ==> 
(246, 'S', 0, 0, 'D', 25) :  -33.20248294182565 ==> GATHER
(247, 'S', 0, 0, 'D', 50) :  -68.0911098231384 ==> UP
(248, 'S', 0, 0, 'D', 75) :  -114.93614694408936 ==> UP
(249, 'S', 0, 0, 'D', 100) :  -129.29244445470994 ==> UP
(250, 'S', 0, 1, 'R', 0) :  0.0 ==> 
(251, 'S', 0, 1, 'R', 25) :  -4.056152538652437 ==> STAY
(252, 'S', 0, 1, 'R', 50) :  -66.84211818825116 ==> GATHER
(253, 'S', 0, 1, 'R', 75) :  -100.49421577269639 ==> GATHER
(254, 'S', 0, 1, 'R', 100) :  -135.3864763592718 ==> STAY
(255, 'S', 0, 1, 'D', 0) :  0.0 ==> 
(256, 'S', 0, 1, 'D', 25) :  3.564011606224807 ==> UP
(257, 'S', 0, 1, 'D', 50) :  -64.63143003283105 ==> UP
(258, 'S', 0, 1, 'D', 75) :  -92.37713909475106 ==> UP
(259, 'S', 0, 1, 'D', 100) :  -127.4868551378376 ==> UP
(260, 'S', 0, 2, 'R', 0) :  0.0 ==> 
(261, 'S', 0, 2, 'R', 25) :  -0.10464994982401787 ==> STAY
(262, 'S', 0, 2, 'R', 50) :  -39.22614702533189 ==> GATHER
(263, 'S', 0, 2, 'R', 75) :  -96.09189970939957 ==> GATHER
(264, 'S', 0, 2, 'R', 100) :  -119.66605290774636 ==> STAY
(265, 'S', 0, 2, 'D', 0) :  0.0 ==> 
(266, 'S', 0, 2, 'D', 25) :  7.7200573189994675 ==> UP
(267, 'S', 0, 2, 'D', 50) :  -30.293147890128648 ==> UP
(268, 'S', 0, 2, 'D', 75) :  -87.80287780859435 ==> UP
(269, 'S', 0, 2, 'D', 100) :  -110.72320147146561 ==> UP
(270, 'S', 0, 3, 'R', 0) :  0.0 ==> 
(271, 'S', 0, 3, 'R', 25) :  0.5732228698631827 ==> STAY
(272, 'S', 0, 3, 'R', 50) :  -33.56632527772957 ==> GATHER
(273, 'S', 0, 3, 'R', 75) :  -70.9721580935063 ==> GATHER
(274, 'S', 0, 3, 'R', 100) :  -116.08890800230662 ==> STAY
(275, 'S', 0, 3, 'D', 0) :  0.0 ==> 
(276, 'S', 0, 3, 'D', 25) :  8.546345996752287 ==> UP
(277, 'S', 0, 3, 'D', 50) :  -24.392634411051127 ==> UP
(278, 'S', 0, 3, 'D', 75) :  -61.10432062352611 ==> UP
(279, 'S', 0, 3, 'D', 100) :  -106.87008682152326 ==> UP
(280, 'S', 1, 0, 'R', 0) :  0.0 ==> 
(281, 'S', 1, 0, 'R', 25) :  -33.591613748781825 ==> GATHER
(282, 'S', 1, 0, 'R', 50) :  -68.98183957518924 ==> GATHER
(283, 'S', 1, 0, 'R', 75) :  -112.28962325198509 ==> GATHER
(284, 'S', 1, 0, 'R', 100) :  -136.62131489385834 ==> STAY
(285, 'S', 1, 0, 'D', 0) :  0.0 ==> 
(286, 'S', 1, 0, 'D', 25) :  -24.637646121862247 ==> UP
(287, 'S', 1, 0, 'D', 50) :  -66.46761236184567 ==> UP
(288, 'S', 1, 0, 'D', 75) :  -109.911448184356 ==> GATHER
(289, 'S', 1, 0, 'D', 100) :  -128.6081120304645 ==> UP
(290, 'S', 1, 1, 'R', 0) :  0.0 ==> 
(291, 'S', 1, 1, 'R', 25) :  -3.863559936047319 ==> STAY
(292, 'S', 1, 1, 'R', 50) :  -64.7847086418675 ==> GATHER
(293, 'S', 1, 1, 'R', 75) :  -99.39461034691041 ==> GATHER
(294, 'S', 1, 1, 'R', 100) :  -134.25408839538682 ==> GATHER
(295, 'S', 1, 1, 'D', 0) :  0.0 ==> 
(296, 'S', 1, 1, 'D', 25) :  3.825031364110585 ==> UP
(297, 'S', 1, 1, 'D', 50) :  -56.468267101468356 ==> UP
(298, 'S', 1, 1, 'D', 75) :  -91.2212511512098 ==> UP
(299, 'S', 1, 1, 'D', 100) :  -126.24932075946154 ==> UP
(300, 'S', 1, 2, 'R', 0) :  0.0 ==> 
(301, 'S', 1, 2, 'R', 25) :  -0.09242102982712108 ==> STAY
(302, 'S', 1, 2, 'R', 50) :  -38.6245020512991 ==> GATHER
(303, 'S', 1, 2, 'R', 75) :  -95.82983030257037 ==> GATHER
(304, 'S', 1, 2, 'R', 100) :  -119.49058515255659 ==> STAY
(305, 'S', 1, 2, 'D', 0) :  0.0 ==> 
(306, 'S', 1, 2, 'D', 25) :  7.736631037005295 ==> UP
(307, 'S', 1, 2, 'D', 50) :  -29.563552931894584 ==> UP
(308, 'S', 1, 2, 'D', 75) :  -86.02694096571499 ==> UP
(309, 'S', 1, 2, 'D', 100) :  -110.48539010436814 ==> UP
(310, 'S', 1, 3, 'R', 0) :  0.0 ==> 
(311, 'S', 1, 3, 'R', 25) :  0.5823881742924275 ==> STAY
(312, 'S', 1, 3, 'R', 50) :  -32.98019712587557 ==> GATHER
(313, 'S', 1, 3, 'R', 75) :  -70.9721554825127 ==> GATHER
(314, 'S', 1, 3, 'R', 100) :  -116.07583881452688 ==> STAY
(315, 'S', 1, 3, 'D', 0) :  0.0 ==> 
(316, 'S', 1, 3, 'D', 25) :  8.558767612926474 ==> UP
(317, 'S', 1, 3, 'D', 50) :  -23.95333036612788 ==> UP
(318, 'S', 1, 3, 'D', 75) :  -61.10431990660183 ==> UP
(319, 'S', 1, 3, 'D', 100) :  -106.85237590064999 ==> UP
(320, 'S', 2, 0, 'R', 0) :  0.0 ==> 
(321, 'S', 2, 0, 'R', 25) :  -33.4269861712031 ==> GATHER
(322, 'S', 2, 0, 'R', 50) :  -67.75680024435404 ==> GATHER
(323, 'S', 2, 0, 'R', 75) :  -111.05637787157391 ==> GATHER
(324, 'S', 2, 0, 'R', 100) :  -136.20099907884895 ==> STAY
(325, 'S', 2, 0, 'D', 0) :  0.0 ==> 
(326, 'S', 2, 0, 'D', 25) :  -23.48393381303849 ==> UP
(327, 'S', 2, 0, 'D', 50) :  -57.88251916502861 ==> UP
(328, 'S', 2, 0, 'D', 75) :  -101.26884233533507 ==> UP
(329, 'S', 2, 0, 'D', 100) :  -128.03846411769166 ==> UP
(330, 'S', 2, 1, 'R', 0) :  0.0 ==> 
(331, 'S', 2, 1, 'R', 25) :  -3.1251537149991777 ==> STAY
(332, 'S', 2, 1, 'R', 50) :  -64.52433665583283 ==> GATHER
(333, 'S', 2, 1, 'R', 75) :  -99.12196005625285 ==> GATHER
(334, 'S', 2, 1, 'R', 100) :  -133.39734592022134 ==> STAY
(335, 'S', 2, 1, 'D', 0) :  0.0 ==> 
(336, 'S', 2, 1, 'D', 25) :  4.825791793326144 ==> UP
(337, 'S', 2, 1, 'D', 50) :  -54.64357706100397 ==> UP
(338, 'S', 2, 1, 'D', 75) :  -89.31051583724279 ==> UP
(339, 'S', 2, 1, 'D', 100) :  -124.7910023763831 ==> UP
(340, 'S', 2, 2, 'R', 0) :  0.0 ==> 
(341, 'S', 2, 2, 'R', 25) :  0.5359516504988586 ==> STAY
(342, 'S', 2, 2, 'R', 50) :  -38.47936657293105 ==> GATHER
(343, 'S', 2, 2, 'R', 75) :  -95.82730580317522 ==> GATHER
(344, 'S', 2, 2, 'R', 100) :  -119.48975732709245 ==> STAY
(345, 'S', 2, 2, 'D', 0) :  0.0 ==> 
(346, 'S', 2, 2, 'D', 25) :  8.588263241460275 ==> UP
(347, 'S', 2, 2, 'D', 50) :  -28.546441652148008 ==> UP
(348, 'S', 2, 2, 'D', 75) :  -86.00924988678298 ==> UP
(349, 'S', 2, 2, 'D', 100) :  -110.48427303361117 ==> UP
(350, 'S', 2, 3, 'R', 0) :  0.0 ==> 
(351, 'S', 2, 3, 'R', 25) :  1.220519383333139 ==> STAY
(352, 'S', 2, 3, 'R', 50) :  -32.82750468224268 ==> GATHER
(353, 'S', 2, 3, 'R', 75) :  -70.97215476303698 ==> GATHER
(354, 'S', 2, 3, 'R', 100) :  -116.0536807229807 ==> STAY
(355, 'S', 2, 3, 'D', 0) :  0.0 ==> 
(356, 'S', 2, 3, 'D', 25) :  9.423625367973726 ==> UP
(357, 'S', 2, 3, 'D', 50) :  -22.8832596781052 ==> UP
(358, 'S', 2, 3, 'D', 75) :  -61.104315335459184 ==> UP
(359, 'S', 2, 3, 'D', 100) :  -106.8223495663861 ==> UP
(360, 'W', 0, 0, 'R', 0) :  0.0 ==> 
(361, 'W', 0, 0, 'R', 25) :  -51.388026234642155 ==> STAY
(362, 'W', 0, 0, 'R', 50) :  -80.56451180383618 ==> STAY
(363, 'W', 0, 0, 'R', 75) :  -126.65679632088313 ==> STAY
(364, 'W', 0, 0, 'R', 100) :  -140.7892047816939 ==> STAY
(365, 'W', 0, 0, 'D', 0) :  0.0 ==> 
(366, 'W', 0, 0, 'D', 25) :  -41.48094942973216 ==> RIGHT
(367, 'W', 0, 0, 'D', 50) :  -70.71589136362032 ==> RIGHT
(368, 'W', 0, 0, 'D', 75) :  -116.90051189860385 ==> RIGHT
(369, 'W', 0, 0, 'D', 100) :  -131.061240055735 ==> RIGHT
(370, 'W', 0, 1, 'R', 0) :  0.0 ==> 
(371, 'W', 0, 1, 'R', 25) :  -9.447623521391122 ==> STAY
(372, 'W', 0, 1, 'R', 50) :  -73.27039041153768 ==> SHOOT
(373, 'W', 0, 1, 'R', 75) :  -104.68539142748006 ==> STAY
(374, 'W', 0, 1, 'R', 100) :  -137.2561026664912 ==> SHOOT
(375, 'W', 0, 1, 'D', 0) :  0.0 ==> 
(376, 'W', 0, 1, 'D', 25) :  0.5434487837878184 ==> RIGHT
(377, 'W', 0, 1, 'D', 50) :  -67.26779848182437 ==> RIGHT
